STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,WDFG,WSFG
CA006131983,"DELHI CS, ON CA",17-03-2020,0,,36,46,27,28,76.1
CA006131983,"DELHI CS, ON CA",18-03-2020,0.17,,36,45,26,,
CA006131983,"DELHI CS, ON CA",19-03-2020,0.18,,46,58,35,21,76.1
CA006131983,"DELHI CS, ON CA",20-03-2020,0.23,,44,61,27,24,134.2
CA006131983,"DELHI CS, ON CA",21-03-2020,0,,29,36,21,,
CA006131983,"DELHI CS, ON CA",22-03-2020,0.01,,28,39,17,,
CA006131983,"DELHI CS, ON CA",23-03-2020,0.3,,34,40,29,,
CA006131983,"DELHI CS, ON CA",24-03-2020,0,,38,45,32,,
CA006131983,"DELHI CS, ON CA",25-03-2020,0,,43,55,31,,
CA006131983,"DELHI CS, ON CA",26-03-2020,0,,44,57,32,23,85
CA006131983,"DELHI CS, ON CA",27-03-2020,0,,44,54,35,,
CA006131983,"DELHI CS, ON CA",28-03-2020,0.49,,42,46,38,,
CA006131983,"DELHI CS, ON CA",29-03-2020,0.45,,54,67,41,25,143.2
CA006131983,"DELHI CS, ON CA",30-03-2020,0,,43,47,38,26,76.1
CA006131983,"DELHI CS, ON CA",31-03-2020,0.03,,44,49,38,,
CA006131983,"DELHI CS, ON CA",01-04-2020,0,,44,52,36,34,82.8
CA006131983,"DELHI CS, ON CA",02-04-2020,0,,46,58,34,34,91.7
CA006131983,"DELHI CS, ON CA",03-04-2020,0,,43,55,31,32,71.6
CA006131983,"DELHI CS, ON CA",04-04-2020,0,,47,58,36,,
CA006131983,"DELHI CS, ON CA",05-04-2020,0,,42,54,30,,
CA006131983,"DELHI CS, ON CA",06-04-2020,0,,43,60,26,,
CA006131983,"DELHI CS, ON CA",07-04-2020,0.37,,47,61,34,,
CA006131983,"DELHI CS, ON CA",08-04-2020,0.16,,50,58,42,30,80.5
CA006131983,"DELHI CS, ON CA",09-04-2020,0.33,,40,47,33,31,111.8
CA006131983,"DELHI CS, ON CA",10-04-2020,0.03,,36,41,31,31,118.6
CA006131983,"DELHI CS, ON CA",11-04-2020,0,,38,48,29,21,78.3
CA006131983,"DELHI CS, ON CA",12-04-2020,0.04,,51,63,39,18,80.5
CA006131983,"DELHI CS, ON CA",13-04-2020,0.5,,46,57,35,26,120.8
CA006131983,"DELHI CS, ON CA",14-04-2020,0,,36,43,29,25,100.7
CA006131983,"DELHI CS, ON CA",15-04-2020,0.06,,31,38,24,27,87.2
CA006131983,"DELHI CS, ON CA",16-04-2020,0.02,,30,39,20,26,85
CA006131983,"DELHI CS, ON CA",17-04-2020,0.09,,34,39,28,,
CA006131983,"DELHI CS, ON CA",18-04-2020,0,,37,47,27,21,91.7
CA006131983,"DELHI CS, ON CA",19-04-2020,0.13,,40,52,27,23,105.1
CA006131983,"DELHI CS, ON CA",20-04-2020,0,,36,50,23,20,80.5
CA006131983,"DELHI CS, ON CA",21-04-2020,0.04,,39,50,29,30,145.4
CA006131983,"DELHI CS, ON CA",22-04-2020,0,,34,42,26,28,91.7
CA006131983,"DELHI CS, ON CA",23-04-2020,0.29,,35,39,32,,
CA006131983,"DELHI CS, ON CA",24-04-2020,0,,43,52,34,,
CA006131983,"DELHI CS, ON CA",25-04-2020,0.03,,45,60,31,,
CA006131983,"DELHI CS, ON CA",26-04-2020,0.42,,43,48,38,5,94
CA006131983,"DELHI CS, ON CA",27-04-2020,0,,46,60,32,23,73.8
CA006131983,"DELHI CS, ON CA",28-04-2020,0.01,,54,64,44,,
CA006131983,"DELHI CS, ON CA",29-04-2020,0.54,,53,61,46,,
CA006131983,"DELHI CS, ON CA",30-04-2020,0.57,,52,59,44,,
CA006131983,"DELHI CS, ON CA",01-05-2020,0.06,,51,62,41,32,80.5
CA006131983,"DELHI CS, ON CA",02-05-2020,0,,52,67,38,22,96.2
CA006131983,"DELHI CS, ON CA",03-05-2020,0,,58,71,46,32,91.7
CA006131983,"DELHI CS, ON CA",04-05-2020,0,,44,52,35,32,96.2
CA006131983,"DELHI CS, ON CA",05-05-2020,0,,41,53,28,,
CA006131983,"DELHI CS, ON CA",06-05-2020,0,,46,59,33,31,73.8
CA006131983,"DELHI CS, ON CA",08-05-2020,0,,34,42,27,33,100.7
CA006131983,"DELHI CS, ON CA",09-05-2020,0,,35,44,26,28,127.5
CA006131983,"DELHI CS, ON CA",10-05-2020,0,,44,56,31,20,114.1
CA006131983,"DELHI CS, ON CA",11-05-2020,0.11,,38,44,33,31,91.7
CA006131983,"DELHI CS, ON CA",12-05-2020,0,,40,52,28,31,100.7
CA006131983,"DELHI CS, ON CA",13-05-2020,0,,40,55,25,,
CA006131983,"DELHI CS, ON CA",14-05-2020,0.21,,48,59,37,,
CA006131983,"DELHI CS, ON CA",15-05-2020,0.31,,59,71,46,24,102.9
CA006131983,"DELHI CS, ON CA",16-05-2020,0,,55,67,43,,
CA006131983,"DELHI CS, ON CA",17-05-2020,0.43,,54,61,47,,
CA006131983,"DELHI CS, ON CA",18-05-2020,0.36,,53,55,50,,
CA006131983,"DELHI CS, ON CA",19-05-2020,0,,58,65,50,,
CA006131983,"DELHI CS, ON CA",20-05-2020,0,,57,71,44,,
CA006131983,"DELHI CS, ON CA",21-05-2020,0,,58,75,40,,
CA006131983,"DELHI CS, ON CA",22-05-2020,0.15,,61,74,49,,
CA006131983,"DELHI CS, ON CA",23-05-2020,0,,67,76,58,,
CA006131983,"DELHI CS, ON CA",24-05-2020,0,,69,84,54,20,89.5
CA006131983,"DELHI CS, ON CA",25-05-2020,0,,76,88,65,,
CA006131983,"DELHI CS, ON CA",26-05-2020,0,,76,90,62,,
CA006131983,"DELHI CS, ON CA",27-05-2020,0,,74,84,64,,
CA006131983,"DELHI CS, ON CA",28-05-2020,0.18,,69,72,66,,
CA006131983,"DELHI CS, ON CA",29-05-2020,0.03,,63,76,51,23,105.1
CA006131983,"DELHI CS, ON CA",30-05-2020,0,,54,63,45,32,87.2
CA006131983,"DELHI CS, ON CA",31-05-2020,0,,51,63,40,36,73.8
CA006131983,"DELHI CS, ON CA",01-06-2020,0,,59,71,47,21,80.5
CA006131983,"DELHI CS, ON CA",02-06-2020,0.01,,67,80,54,24,69.3
CA006131983,"DELHI CS, ON CA",03-06-2020,0,,71,82,59,31,96.2
CA006131983,"DELHI CS, ON CA",04-06-2020,0,,69,83,55,,
CA006131983,"DELHI CS, ON CA",05-06-2020,0,,72,84,60,,
CA006131983,"DELHI CS, ON CA",06-06-2020,0,,69,81,56,32,96.2
CA006131983,"DELHI CS, ON CA",07-06-2020,0,,64,75,52,,
CA006131983,"DELHI CS, ON CA",08-06-2020,0,,65,79,50,,
CA006131983,"DELHI CS, ON CA",09-06-2020,0,,72,91,53,,
CA006131983,"DELHI CS, ON CA",10-06-2020,0.7,,78,89,67,18,109.6
CA006131983,"DELHI CS, ON CA",11-06-2020,0,,68,74,62,28,96.2
CA006131983,"DELHI CS, ON CA",12-06-2020,0,,56,67,46,31,96.2
CA006131983,"DELHI CS, ON CA",13-06-2020,0,,55,68,41,,
CA006131983,"DELHI CS, ON CA",14-06-2020,0,,56,67,45,,
CA006131983,"DELHI CS, ON CA",15-06-2020,0,,62,75,50,,
CA006131983,"DELHI CS, ON CA",16-06-2020,0,,63,80,47,,
CA006131983,"DELHI CS, ON CA",17-06-2020,0,,68,84,51,,
CA006131983,"DELHI CS, ON CA",18-06-2020,0,,72,87,57,,
CA006131983,"DELHI CS, ON CA",19-06-2020,0.37,,72,82,61,,
CA006131983,"DELHI CS, ON CA",20-06-2020,0,,73,86,61,,
CA006131983,"DELHI CS, ON CA",21-06-2020,0,,74,89,60,,
CA006131983,"DELHI CS, ON CA",22-06-2020,0,,74,81,67,,
CA006131983,"DELHI CS, ON CA",23-06-2020,0.22,,69,76,62,19,89.5
CA006131983,"DELHI CS, ON CA",24-06-2020,0,,64,71,57,29,85
CA006131983,"DELHI CS, ON CA",25-06-2020,0,,65,78,51,19,71.6
CA006131983,"DELHI CS, ON CA",26-06-2020,0,,70,81,59,22,71.6
CA006131983,"DELHI CS, ON CA",27-06-2020,0.4,,73,80,66,,
CA006131983,"DELHI CS, ON CA",28-06-2020,0,,73,84,62,,
CA006131983,"DELHI CS, ON CA",29-06-2020,0,,74,88,60,,
CA006131983,"DELHI CS, ON CA",30-06-2020,0,,74,84,63,,
CA006131983,"DELHI CS, ON CA",01-07-2020,0,,74,86,61,,
CA006131983,"DELHI CS, ON CA",02-07-2020,0,,75,90,61,31,69.3
CA006131983,"DELHI CS, ON CA",03-07-2020,0,,77,92,63,,
CA006131983,"DELHI CS, ON CA",04-07-2020,0,,76,89,64,,
CA006131983,"DELHI CS, ON CA",05-07-2020,0,,73,90,56,,
CA006131983,"DELHI CS, ON CA",06-07-2020,0,,78,94,62,,
CA006131983,"DELHI CS, ON CA",07-07-2020,0,,77,92,62,32,80.5
CA006131983,"DELHI CS, ON CA",08-07-2020,0,,80,90,70,,
CA006131983,"DELHI CS, ON CA",09-07-2020,0,,80,94,66,,
CA006131983,"DELHI CS, ON CA",10-07-2020,0.02,,81,92,70,22,71.6
